Movement,File,NumColors,AvgR,AvgG,AvgB,Gray0,Gray25,Gray50,Gray75,Gray100,Gray125,Gray150,Gray175,Gray200,Gray225,Red0,Red25,Red50,Red75,Red100,Red125,Red150,Red175,Red200,Red225,Green0,Green25,Green50,Green75,Green100,Green125,Green150,Green175,Green200,Green225,Blue0,Blue25,Blue50,Blue75,Blue100,Blue125,Blue150,Blue175,Blue200,Blue225
Aivazovskii,BeregMoria,7813,23,34,26,204,716,883,1070,1611,1983,1788,1098,642,5,362,776,1146,1579,1156,1178,1466,1486,851,0,178,731,801,922,1461,1869,1943,1117,898,80,365,1097,987,3889,2661,727,191,73,10,0
Aivazovskii,BespokoynoeMore,5081,163,184,201,121,453,539,534,616,440,385,786,2754,3372,278,649,559,657,498,361,320,1081,2571,3026,103,365,514,541,592,489,402,740,2725,3529,158,647,576,432,465,467,343,487,3995,2430
Aivazovskii,BoiParahodomVestaSTuretskimBronenostsem,5845,212,219,225,153,103,181,374,668,654,673,858,1677,4659,147,129,203,422,735,603,747,851,2003,4160,148,98,165,326,690,625,698,878,1555,4817,293,161,306,571,531,409,454,640,3012,3623
Aivazovskii,Buria,7232,163,162,168,0,8,40,603,649,1353,1873,2226,1777,1471,0,1,188,545,811,1707,1167,1551,1360,2670,0,8,123,548,634,1341,1970,2344,1723,1309,15,54,139,173,426,1137,2086,3204,2204,562
Aivazovskii,BuriaNaMore,6991,158,182,108,233,1023,578,896,811,880,683,2537,1790,569,434,998,557,1254,1103,719,1798,1014,1059,1064,222,983,571,772,759,740,724,1918,2329,982,92,1191,1350,1436,1017,1924,2897,93,0,0
Aivazovskii,ChesmenskiiBoyVNoch,6816,3,1,2,2732,1747,1730,1689,1164,406,315,122,61,34,1253,2194,1282,1766,1357,506,344,376,460,462,3237,1587,1828,1613,1001,363,203,76,47,45,3381,2454,2825,1184,143,10,3,0,0,0
Aivazovskii,DeviatiyVal,7426,104,87,69,557,633,1450,1584,2470,1980,813,271,217,25,491,559,1095,985,989,1037,1009,1555,1669,611,556,621,1518,2480,2824,1041,490,232,189,49,838,1284,6024,1804,50,0,0,0,0,0
Aivazovskii,NochNaMore,8263,92,95,128,194,1402,1731,1881,2216,1258,788,333,137,60,1480,1844,1412,1826,1506,720,550,363,156,143,152,1238,1780,1857,2271,1356,831,330,132,53,52,309,1129,1283,1348,2843,2398,585,52,1
Aivazovskii,ParusnikVMore,6446,90,116,131,0,16,835,943,2668,2918,2592,28,0,0,37,1016,1765,1803,2354,2838,185,2,0,0,0,1,648,858,1301,3856,3290,46,0,0,0,86,241,1299,1445,649,4271,1970,39,0
Aivazovskii,ProshchanieASPushkinaSMorem,6100,211,192,150,229,1073,1295,1225,1030,1625,1834,1644,45,0,819,1237,1055,899,833,1218,1633,1592,701,13,28,1010,1354,1288,1096,1559,2005,1616,44,0,119,1351,1585,1675,2159,2360,751,0,0,0
Aivazovskii,PushkinNaBereguChernogoMoria,7778,130,129,98,871,819,992,1194,1807,1263,1181,1459,368,46,854,853,1056,1406,1754,1687,1152,1102,118,18,880,807,942,1146,1732,1242,1110,1479,594,68,931,934,1358,1751,1498,1781,1336,293,103,15
Aivazovskii,Raduga,7418,67,98,100,7,54,106,314,846,1537,2303,2688,1961,184,12,54,320,385,858,1486,2029,2732,1511,613,4,55,88,264,786,1579,2205,2778,2050,191,14,72,101,318,1339,2001,2228,1895,1972,60
Aivazovskii,Sevastopl,5387,174,166,129,23,65,253,999,805,800,5181,1874,0,0,15,65,191,608,585,433,1051,4511,2541,0,31,74,297,1073,1013,895,5006,1611,0,0,56,292,505,3558,3514,1467,608,0,0,0
Aivazovskii,SkalistiyOstrov,6719,224,230,204,645,1127,819,718,656,963,955,1137,1999,981,994,1147,874,636,872,904,1071,1235,1439,828,535,1139,808,746,633,859,986,1046,1978,1270,796,1109,782,629,640,999,1041,1254,2444,306
Aivazovskii,SmolniyMonastyr,8036,117,113,76,323,686,924,513,718,2446,3522,754,88,26,374,624,798,446,458,1758,2552,2245,618,127,303,652,938,550,686,2432,3278,1034,87,40,700,2144,2014,1552,1203,1052,1143,192,0,0
Aivazovskii,SmotrChernomorskogoFlota,6293,76,75,70,408,661,699,825,948,1183,1508,2026,1665,77,410,674,714,858,925,1138,1367,1866,1932,116,404,658,689,795,914,1177,1475,2004,1802,82,522,609,783,1050,1227,1791,1900,1970,148,0
Aivazovskii,SpasaiushchiesiaOtBuri,8186,231,228,183,66,225,328,576,1015,995,2219,2294,1691,591,94,213,341,997,990,1745,2057,2101,975,487,51,229,313,508,916,1008,1841,2312,2009,813,117,368,544,777,1119,1787,2332,2145,802,9
Aivazovskii,SrediVoln,7472,70,89,106,1353,1062,1302,1124,939,1100,1231,813,846,230,2336,1332,1054,1033,1238,1264,641,594,383,125,1276,1045,1253,1153,875,1002,1244,762,1025,365,442,763,633,930,1622,1284,1636,1970,719,1
Aivazovskii,UBeregovYalty,6540,152,164,202,0,165,509,1284,2019,1349,1282,1429,1845,118,0,143,532,919,1422,2000,1743,1297,1708,236,0,179,603,1398,1962,1246,1252,1403,1855,102,0,362,858,1550,1156,684,761,1332,3292,5
Aivazovskii,VecherVKrimuYalta,6718,126,127,83,1854,1567,209,446,336,1163,2536,1889,0,0,1503,1504,465,330,737,1129,1403,1068,1144,717,2109,1370,180,565,181,820,3177,1598,0,0,2740,957,464,692,1761,2493,891,2,0,0
CritRealism,Repin_18Oktiabria1905,8991,208,188,163,1341,697,723,1141,1316,1167,1489,996,700,430,856,935,539,857,944,1095,1496,1600,1082,596,1451,749,729,1109,1348,1141,1405,958,669,441,1420,1154,1015,1268,1611,1234,1030,564,466,238
CritRealism,Repin_BurlakiNaVolge,9222,60,127,208,373,759,426,353,529,1066,2267,2478,976,773,311,548,468,416,783,1130,1546,1666,1290,1842,371,780,440,379,617,1022,1985,2322,1179,905,1516,1406,1634,695,580,271,261,1658,1360,619
CritRealism,Repin_IvanGrozniyISynEgoIoan,5845,25,28,35,8,5086,1251,1072,784,644,450,321,291,93,507,4244,760,592,702,764,701,492,411,827,4,5260,1549,878,734,573,408,252,240,102,31,5534,2681,1132,442,174,6,0,0,0
CritRealism,Repin_KrestniyKhodVKurskoyGubernii,8954,121,128,120,342,770,670,876,1035,1225,2155,2423,479,25,240,595,503,595,1095,1870,1858,1032,1065,1147,358,819,706,908,1055,1076,2057,2562,427,32,967,1039,1356,2576,1004,286,950,1708,114,0
CritRealism,Repin_LNTolstoiBosoy,7133,31,44,14,1456,3220,1976,542,204,258,286,385,778,895,2085,2735,1536,692,205,217,380,437,819,894,1369,3113,2031,664,235,238,274,379,748,949,2910,3852,526,235,250,217,309,475,729,497
CritRealism,Repin_Pakhar,6330,236,243,212,2165,1556,836,700,807,775,510,240,179,2232,2574,1513,560,774,565,617,557,313,247,2280,2177,1470,866,620,859,772,555,245,195,2241,353,2871,1682,2049,460,211,153,101,474,1646
CritRealism,Repin_PortretSurikova,5550,184,215,155,4823,641,355,1296,780,425,405,339,497,439,4953,553,858,1146,578,465,326,466,391,264,4809,632,301,1085,889,425,452,312,358,737,2556,3130,1921,1064,442,445,244,147,31,20
CritRealism,Repin_PushkinNaAkteVLitsee,9158,11,23,37,860,1705,1475,1488,1490,1243,954,510,175,100,861,868,972,1467,1657,1432,1213,990,427,113,1767,1313,1122,1380,1444,1224,926,533,179,112,730,1952,1734,1632,1976,1089,502,205,112,68
